question_id,question,option_A,option_B,option_C,option_D,correct_option,difficulty_level,category,topic,tags
423,What is the default branch name in a new Git repository?,master,main, trunk,dev,B,Easy,General,Git,"git,version control,basics"
424, Which data structure follows FIFO order?,Stack, Tree,Queue,Graph,C,Easy,Data Structures & Algorithms,Queue,"data structures,queue,basics"
425,What SQL command creates a new table?,INSERT, MAKE,CREATE,NEW,C,Easy,Databases & SQL, SQL,"sql,ddl,create"
426,Which AWS service is used for computing?,S3, RDS,EC2, IAM,C,Easy,Cloud,AWS,"aws,cloud,compute"
427,What is the output of `sizeof(char)` in C?,4,2,1,8,C,Medium,Language Specific,C,"c,sizeof,memory"
428, What type of database is MongoDB?,Relational,Document-based,Graph,Key-value,B,Medium,Databases & SQL,"MongoDB, NoSQL","mongodb,nosql,database types"
429,Which of the following is a NoSQL database?, MySQL, Oracle,MongoDB,PostgreSQL,C,Medium,Databases & SQL,NoSQL," nosql,mongodb,databases"
430,What type of data structure is a HashMap in Java?,Stack,Queue,Key-value map,Set,C,Easy,Data Structures & Algorithms,"Java, HashMap","java,hashmap,key-value"
431,What is the main component of a for loop in C?,start; stop; step, initialization; condition; increment,declare; call; close,None,B,Medium,Language Specific,C Programming,"c,loops,control flow"
432,What is the main purpose of Entity Framework in .NET?,UI development,Business logic,ORM for data access,Logging,C,Medium,Object-Oriented Programming (OOP),".NET, Entity Framework",".net,orm,data access"
433, What is the output of `10 / 3` in Java?,3.33,3,3,Error,B,Medium,Language Specific,"Java, Arithmetic","java, arithmetic, operators"
434,What does DOM stand for?,Data Object Model,Document Object Model,Digital Output Mode,Document Output Method,B,Medium,Web Development,JavaScript,"javascript, dom, basics"
435,What is the purpose of `__init__.py` in Python packages?,Execute tests,Define templates, Mark directory as a Python package,Setup environment variables,C,Medium,Language Specific,Python,"python, packages, structure"
436,What is the size of `int` in most modern 64-bit compilers?,2 bytes,4 bytes,8 bytes,Depends on OS,B,Medium,Language Specific,"C++, Basics","c++, memory, basics"
437,What is the use of `async/await` in JavaScript?,Iteration,Promises,Event handling,UI Styling,B,Medium,Web Development,"JavaScript, Async","javascript, async, promises"
438,What does `map()` do in JavaScript?, Mutates an array,Iterates and transforms array,Sorts an array,Filters an array,B,Medium,Web Development,JavaScript," javascript, array, functional"
439,What does `git status` do?,Commits changes,Initializes repo,Shows current state,Pushes changes,C,Easy,General,Git,"git, commands, repository"
440,What is a Kubernetes deployment?, A container,A volume, A declaration of desired state,A DNS record,C,Medium,Cloud,Kubernetes,"kubernetes, deployment, desired state"
441,Which annotation is used to inject a dependency in Spring?,@Autowired,@Inject, @Resource, All of the above,D,Medium,Object-Oriented Programming (OOP),Spring,"spring, dependency injection, annotations"
442,What tag is used to define a table row in HTML?,`<row>`, `<td>`,`<tr>`,`<th>`,C,Easy,Web Development,HTML,"html, tables, tags"
443, What is Mongoose used for?,Frontend styling,API routing,Object Data Modeling for MongoDB,Hosting Node.js apps,C,Medium,Databases & SQL,MongoDB,"mongoose, mongodb, odm"
444,What is the output of `type()` in Python?,`<class 'list'>`, `<class 'dict'>`,`<class 'tuple'>`,`<class 'set'>`,A,Easy,Language Specific,Python,"python, data-type, list"
445,What is the default access modifier for class members in C#?,private,public, protected, internal,A,Medium,Object-Oriented Programming (OOP),C#,"C#, access-modifier, oop"
446,Which SQL clause is used for filtering rows?,SELECT,FROM,WHERE,HAVING,C,Easy,Databases & SQL,SQL,"sql, filtering"
447,Which tag defines a paragraph in HTML?, `<h1>`,`<p>`,`<div>`, `<span>`,B,Easy,Web Development,HTML,"html, paragraph, text"
448,What does JVM stand for?,Java Visual Manager,Java Virtual Machine,Java View Module,Java Version Manager,B,Easy,Language Specific, Java,"java, jvm, runtime"
449,Which HTML element is used to define a table row?, `<td>`,`<tr>`, `<th>`,`<row>`,B,Easy,Web Development,HTML,"html, table, row"
450,Which AWS service provides object storage?,EC2,RDS,S3,Lambda,C,Easy,Cloud,AWS," aws, s3, storage"
451,What is the default port for Flask?,3000,8000,8080,5000,D,Easy,Web Development,Flask," flask, port, default"
452,Which clause is used to filter in SQL?,ORDER,FROM,WHERE,JOIN,C,Easy,Databases & SQL,SQL,"sql, where, filter"
453,What is the default port for HTTP?,21,22,80,443,C,Easy,General,Networking,"HTTP, Networking"
454, Which JOIN returns only matching rows in SQL?,LEFT JOIN, FULL JOIN,INNER JOIN,OUTER JOIN,C,Medium,Databases & SQL,Joins," SQL, Joins"
455,Which AWS service is used to deploy serverless applications?,EC2,S3,Lambda,DynamoDB,C,Hard,Cloud, Serverless," AWS, Lambda, Cloud"
456,Which constraint is used to ensure a column value is unique?, FOREIGN KEY,CHECK,UNIQUE,PRIMARY KEY,C,Medium,Databases & SQL, Constraints," SQL, Schema"
457,Which event occurs when the user clicks on an HTML element?,onchange,onmouseclick, onclick,onmouseover,C,Easy,Web Development,Events,"JavaScript, Events"
458,Which keyword declares a variable in JavaScript?,int, let,define,varr,B,Easy,Language Specific, JavaScript,"javascript, variables"
459,What does `cursor.execute()` do in Python's MySQL connector?,Compiles a function,Saves a database, Executes SQL query, Initializes Flask app,C,Medium,Databases & SQL,Python + SQL," mysql, python, cursor"
460,What is the default port for HTTP?,443,21,80,22,C,Easy,Web Development,Networking,"networking, http, ports"
461, Which operator is used for pointer dereferencing in C++?, *, &, ->, %,A,Medium,Language Specific,Pointers," c++, pointers"
462, Which CSS property changes the text color?,font-color,text-color, color, background-color,C,Easy,Web Development,CSS Basics," css, styles"
463, Which annotation is used for REST controllers in Spring Boot?, @Controller,@RestController,@Service,@Component,B,Medium,Web Development,Spring Boot," spring, annotations"
464, In JavaScript what will typeof null return?,null, object, undefined,boolean,B,Hard,Language Specific,JavaScript Quirks," javascript, typeof"
465, Which pointer type returns multiple values?,Null Pointer,Void Pointer, Function Pointer,Double Pointer,D,Hard,Language Specific,C++ Pointers,"c++, pointers"
466,How do you comment a line in JavaScript?,// comment, <!-- comment -->, \* comment *\,-- comment --,A,Medium,Language Specific,JavaScript,"javascript, comments"
467,Which interface is used to create threads in Java?,Runnable,Executor,Callable, Threadable,A,Hard,Language Specific,Multithreading,"java, threading"
468, What is the time complexity of binary search?, O(n)  , O(log n)  ,O(n log n),O(1),B,Medium,Data Structures & Algorithms,Searching ,"algorithms, complexity, search "
469,Which HTTP method is used to update data?, GET, POST,DELETE,PUT,D,Easy,Web Development,REST APIs,"http, api, put"
470, What data structure uses LIFO?,Queue, Stack, Array, Tree,B,Medium,Data Structures & Algorithms,Stack," stack, lifo"
471,What keyword is used to define an async function in JavaScript?, async, await,promise, defer,A,Medium,Language Specific, Asynchronous JS," javascript, async"
472, What is the file extension for a C# source file?,.cs,.cpp,.csharp, .c,A,Easy,Language Specific, C#," csharp, file format"
473,Which function fetches all rows from an SQLite cursor?,getall(), fetchall(),retrieve(), allrows(),B,Medium,Databases & SQL, SQLite," sqlite, fetch, python"
474,Laravel uses ___ as its templating engine.,Handlebars, Blade, Twig, Smarty,B,Medium,Web Development, Laravel,"laravel, blade, template"
475, Which tool is used to manage Go dependencies?,pip,npm,dep, go mod,D,Medium,Language Specific, Dependency Management," golang, modules"
476, What is the default position of an HTML element?,relative, fixed, static, absolute,C,Medium,Web Development,CSS," css, positioning"
477, What is used to auto-generate IDs in JPA?, @Auto,@IdGenerator, @GeneratedValue, @AutoID,C,Medium,Databases & SQL, JPA," jpa, annotations"
478, What is the use of `useEffect` in React?, Handle state,Manage styles, Run side-effects, Render UI,C,Medium,Web Development, React," react, useEffect"
479, PostgreSQL is an example of a ___ database., NoSQL, In-memory, Relational, Graph,C,Easy,Databases & SQL, PostgreSQL," postgresql, relational"
480,Which keyword is used to define a class in Java?, def, function,class, new,C,Easy,Object-Oriented Programming (OOP),Java Classes," java, class"
481, What is the default port of MongoDB?,8080,3000,27017,1433,C,Medium,Databases & SQL, MongoDB," mongodb, ports"
482,Which SQL Server clause is used to group results?,GROUP,ORDER, GROUP BY,SORT BY,C,Medium,Databases & SQL, SQL Aggregation," sqlserver, groupby"
483, What symbol is used to comment a single line in Python?, //, /*, --, #,D,Easy,Language Specific, Python,"python, comments"
484, What is the purpose of Angular CLI?, Manage SQL, Generate APIs, Scaffold and manage Angular apps, Create CSS frameworks,C,Medium,Web Development,Angular CLI,"angular, cli"
485,What is the default orchestrator used with Docker Swarm?,Nomad, Kubernetes,SwarmKit, Marathon,C,Hard,Cloud,Docker Swarm," docker, swarm"
486,In Java which method is used to get string length?,length, getLength(), size(), length(),D,Easy,Language Specific,Java Strings,"java, strings"
487,Which array method creates a new array by filtering?, map(), filter(), reduce(),sort(),B,Easy,Language Specific, JavaScript Arrays," javascript, array"
488, What is the main purpose of Spring Data JPA?, UI binding,Logging, Data access abstraction,Caching,C,Medium,Databases & SQL, Spring Data JPA,"springboot, jpa"
489,Which SQL command is used to delete data?, ERASE, REMOVE, DELETE, DROP,C,Easy,Databases & SQL, SQL Basics,"sql, delete"
490,What is the extension of a compiled C++ file?, .cpp, .out, .o,.exe,B,Medium,Language Specific, C++ Compilation," cpp, compile"
491,What method is used to parse JSON in JavaScript?, JSON.decode(), JSON.toObject(),JSON.stringify(), JSON.parse(),D,Easy,Language Specific,JavaScript,"javascript, json"
492,What data format is returned by Flask’s jsonify?, XML, CSV, JSON, HTML,C,Easy,Web Development,Flask,"flask, json"
493, What command initializes a Git repository?, git init, git start,git create,git new,A,Easy,General, Git,"git, init"
494,What keyword is used to handle exceptions in Java?, try, catch, throw,All of the above,D,Medium,Language Specific, Java Exceptions," java, exceptions"
495, Angular uses which language to write templates?, HTML, CSS, TypeScript, XML,A,Easy,Web Development, Angular," angular, templates"
496, Which of the following is the main function in a C++ program?, void main(), int main(), main(), start(),B,Easy,Language Specific, C++," cpp, main function"
497," In Spring MVC, which of the following annotations is used to define a controller?", @Controller,@RequestMapping, @RestController, @Service,A,Medium,Web Development, Spring," spring, mvc"
498, What does the JavaScript `alert()` function do?, Displays a message on the webpage, Displays a pop-up message box, Changes the content of the page,Sends a message to the console,B,Easy,Language Specific,JavaScript," javascript, alert"
499,Which SQL command is used to retrieve data from a database?, GET, FETCH,SELECT, RETRIEVE,C,Easy,Databases & SQL, SQL,"sql, select"
500, Which of the following is a Go feature that allows lightweight concurrent execution?, Threading, Tasking,Goroutines,Processes,C,Medium,Language Specific, Go," go, concurrency"
501, What type of database is MongoDB?, Relational database, Document-based NoSQL database, Key-Value store, Graph database,B,Medium,Databases & SQL, MongoDB," mongodb, database"
502, Which SQL command is used to update an existing record in a table?, INSERT, UPDATE, ALTER, MODIFY,B,Easy,Databases & SQL,SQL,"sql, update"
503, What does the `print()` function do in Python?, Prints the data on the console, Prints the data to a file,Prints data on the webpage, None of the above,A,Easy,Language Specific,Python,"python, print"
504," In MySQL, which command is used to add a new column to an existing table?", ADD COLUMN, ALTER COLUMN, MODIFY COLUMN, CREATE COLUMN,A,Medium,Databases & SQL, SQL,"mysql, add column"
505, Which design pattern is often used to define a single instance class in C#?,Singleton, Factory,Observer, Prototype,A,Medium,Language Specific,Design Patterns," c#, singleton"
506, How can you define a static method in Python?, @staticmethod, static def, def static_method, staticmethod(),A,Medium,Language Specific, Python," python, static method"
507, How do you declare a variable in JavaScript?, var variable;, let variable;, const variable;, All of the above,D,Medium,Language Specific,JavaScript,"javascript, variable"
508,"In SQL Server, which statement is used to delete a table?", DELETE, DROP TABLE, REMOVE TABLE, TRUNCATE,B,Medium,Databases & SQL, SQL Server," sql server, drop table"
509,"In Ruby, which operator is used for string concatenation?",+, ., &, &&,A,Easy,Language Specific, Ruby," ruby, string"
510," In Java, what does the `finally` block do in exception handling?", It is executed only when an exception is thrown.," It is always executed, regardless of whether an exception is thrown.", It is executed only when there is no exception., It is executed only if the exception is caught.,B,Medium,Language Specific,Java,"java, exception handling"
511,What does CSS stand for?, Color Style Sheets, Cascading Style Sheets,Creative Style Sheets, Computer Style Sheets,B,Easy,Web Development,CSS," css, definition"
512, What does the `find()` method do in MongoDB?, Retrieves a single document from a collection,Retrieves all documents from a collection, Creates a new document, Deletes a document,B,Medium,Databases & SQL, MongoDB," mongodb, find"
513, How can you define a virtual environment in Python?, virtualenv venv, python -env create,env python, pip install virtualenv,A,Medium,Language Specific, Python," python, virtual environment"
514, How do you define an instance variable in Ruby?, @variable, $variable, variable,@@variable,A,Medium,Language Specific, Ruby,"ruby, instance variable"
515,How can you close a connection in Java's JDBC?, closeConnection(), conn.close(),connection.closeConnection(), disconnect(),B,Medium,Language Specific,Java,"java, jdbc"
516,"In JavaScript, what is `typeof null`?",object,null,undefined,boolean,A,Hard,Language Specific,JavaScript,JavaScript
517,"What is the output of `len(set(1, 2, 2, 3))` in Python?",3,4,2,Error,A,Medium,Problem Solving,"Python, Sets","Python, Sets"
518,Which access modifier allows access within the same package in Java?,public,private,protected,default,D,Medium,Language Specific,Java,"Java, "
519,Which of the following is a frontend technology?,Python,Java,HTML,Node.js,C,Easy,Web Development,Frontend,"Frontend, HTML"
520,Which service does Firebase offer?,Containerization,Real-time Database,Virtual Machines,CI/CD Pipelines,B,Medium,Cloud,Firebase,Firebase
521,Which HTTP status code represents a Bad Request?,200,301,400,500,C,Medium,General,HTTP,HTTP
522,What does SQL `ORDER BY` do?,Deletes records,Filters rows,Sorts the result set, Groups rows,C,Easy,Databases & SQL,SQL,SQL
523,What is the purpose of IAM in cloud platforms?, Monitoring logs,Managing access and permissions,Backup recovery,Cost estimation,B,Medium,Cloud,"GCP, IAM","GCP, IAM"
524,Which keyword is used to define an interface in Java?,interface,implements,class,define,A,Medium,Object-Oriented Programming (OOP),"Java, Interfaces","Java, Interfaces"
525,What is MVC?,Memory View Control,Module View Control,Model View Controller,Main View Code,C,Easy,General,Software Architecture,Software Architecture
526, What is the purpose of Docker?,Virtualization,Configuration,Containerization,Authentication,C,Medium,Other,Docker,Docker
527,Which operator is used for exponentiation in Python?,^, \*\*, //,%,B,Medium,Language Specific, Python, Python
528,What is encapsulation in OOP?,Hiding internal state,Creating objects,Extending classes, Polymorphism,A,Medium,Object-Oriented Programming (OOP),Encapsulation,"Encapsulation, OOP"
529,Which class is used for file reading in .NET?,FileHandler,StreamReader,FileReader,Reader,B,Medium,Language Specific, .NET, .NET
530,What type of data structure is used in a priority queue?,Stack, Heap, Tree,Array,B,Hard,Data Structures & Algorithms,Priority Queue,Priority Queue
531,What keyword defines an interface in TypeScript?,type,struct,interface,class,C,Easy,Language Specific,TypeScript,TypeScript
532,What is the correct syntax to comment in Python?, // comment,-- comment,# comment,/\* comment \*/,C,Easy,Language Specific,Python,Python
533,What is the main purpose of OOP?,Code duplication,Function calls,Code reusability and organization,Data hiding only,C,Medium,Object-Oriented Programming (OOP),Principles of OOP,Principles of OOP
534, Which Laravel file handles route definitions?,app/routes.php,routes/web.php,config/routes.php,web/routes.php,B,Medium,Web Development,Laravel,Laravel
535,What does `git status` show?,Commit history,File differences,Current repo state,Remote branches,C,Medium,General,Git,Git
536,Which concept allows different classes to have methods with the same name in OOP?,Inheritance,Encapsulation,Abstraction,Polymorphism,D,Medium,Object-Oriented Programming (OOP),Polymorphism," oop,polymorphism,concepts"
537,What does CSS stand for?,Common Style Sheets,Computer Style Sheets,Cascading Style Sheets,Creative Style Sheets,C,Easy,Web Development,CSS,"css,web design,abbreviations"
538,"In Docker, what is a container?",A physical machine,An application runtime instance, A VM,A load balancer,B,Medium,Other,Docker,"docker,containerization,basics"
539,Which data structure uses LIFO order?,Queue, Stack,Linked List,Array,B,Easy,Data Structures & Algorithms,Stack,"data structures,stack,order"
540,What does OOP stand for?,Objective Over Programming,Object-Oriented Programming,Object Over Process,Oriented Object Program,B,Easy,Object-Oriented Programming (OOP),Basics,"oop,basics,concepts"
541, Which keyword is used to create a class in JavaScript?, struct,function,class,new,C,Easy,Language Specific,"JavaScript, OOP","javascript,oop,class"
542,"In CSS, what property is used to change text color?", background,font-style,color,text-color,C,Easy,Web Development,CSS,"css,text styling,color"
543,Which annotation in Spring Boot is used to create a RESTful controller?, @Component,@RestController,@Service,@Controller,B,Medium,Web Development," Spring Boot, REST","spring boot,rest api,annotations"
544,What is the file extension for Python files?,.java,.py, .exe,.cpp,B,Easy,Language Specific,Python,"python,files,syntax"
545,What is the output of `typeof null` in JavaScript?,object, null,undefined, string,A,Hard,Language Specific,JavaScript,"javascript,typeof,quirks"
546,Which statement is used to create a table in SQL?,MAKE TABLE,CREATE TABLE,NEW TABLE,ADD TABLE,B,Easy,Databases & SQL, SQL,"sql, ddl, basics"
547,Which function displays a message in a popup box in JavaScript?,alert(),popup(),show(), display(),A,Easy,Web Development,JavaScript," javascript, browser, popup"
548,What does `*args` in Python function definition mean?,Required arguments,Keyword arguments,Variable-length arguments,Return statement,C,Medium,Language Specific,Python,"python, functions, args"
549,What does the `new` keyword do in C++?,Deletes memory,Declares variable,Allocates memory,Calls destructor,C,Medium,Language Specific,"C++, Memory Management"," c++, memory management, allocation"
550,Which command starts a Node.js project?,node create,npm init,node init, npm install,B,Easy,Web Development,Node.js," node.js, npm, project setup"
551,Which lifecycle method is called once after the component is rendered in class components?,componentDidMount,render,componentWillMount,shouldComponentUpdate,A,Medium,Web Development,React,"react, lifecycle, class components"
552,What will `2 ** 3` return in Python?,6,8,9,5,B,Easy,Language Specific,Python,"python, math, exponentiation"
553,What is the use of Dockerfile?,Build Docker images,Launch VMs,Configure Kubernetes,Manage DNS,A,Medium,Cloud,Docker,"docker, images, dockerfile"
554, What is the purpose of `pom.xml` in a Maven project?,Define dependencies,Start server,Deploy application,Handle UI,A,Easy,Language Specific,"Java, Maven","maven, dependencies, java"
555,Which property is used to make text bold in CSS?,font-style,font-weight,font-bold,text-weight,B,Easy,Web Development,CSS,"css, font, styling"
556,What is middleware in Express.js?,Database connection,Function that handles requests and responses,Styling component,Authentication token,B,Medium,Web Development,Express.js," express, middleware, web"
557,What is the default axis for `drop()` in Pandas?,1 (columns),0 (rows),2 (cells),None,B,Medium,Databases & SQL,Pandas,"pandas, drop, axis"
558,What is the purpose of CLR in .NET?,Build UI,Manage memory and execution,Encrypt data,Create libraries,B,Medium,Language Specific,.NET," .net, clr, runtime"
559,What is a JOIN used for in SQL?,Merge columns,Combine tables,Format output   ,Create keys,B,Medium,Databases & SQL,SQL,"sql, join, tables"
560,What symbol is used for comments in JavaScript?,<!-- -->, ##, //,/\* \*/,C,Easy,Language Specific,JavaScript,"javascript, comment, syntax"
561, What is a POJO in Java?,Platform object,Plain Old Java Object,Persistent Object Java,Partial Object Java,B,Medium,Object-Oriented Programming (OOP),Java,"java, pojo, object"
562,How do you make text bold in HTML?,`<bold>`, `<b>`,`<strongtext>`,`<stronger>`,B,Easy,Web Development,HTML,"html, bold, text"
563,What is the purpose of a `Dockerfile`?,Launch web apps, Define container configuration,Store secrets,Load volume data,B,Medium,Cloud,Docker,"docker, dockerfile, config"
564,What is `render_template()` used for?,Debug logs,File upload, Return HTML from templates, Database connection,C,Medium,Web Development,Flask,"flask, template, render"
565,What symbol begins a formula in Excel?,=,@,\$,%,A,Easy,General,Excel,"excel, formula, syntax"
